"tabela","indice","type_desc","is_primary_key","is_unique","coluna","key_ordinal","is_included_column"
"Acabamento","PK_Acabamento","CLUSTERED","True","True","CodAcabamento","1","False"
"acerto_eletrecistas","PK_acerto_eletrecistas","CLUSTERED","True","True","ael_codigo","1","False"
"acerto_eletrecistas_servicos","PK_acerto_eletrecistas_servicos","CLUSTERED","True","True","ael_codigo","1","False"
"acerto_eletrecistas_servicos","PK_acerto_eletrecistas_servicos","CLUSTERED","True","True","aes_codigo","2","False"
"AltValorTabela","PK_AltValorTabela","CLUSTERED","True","True","AltValTab_codigo","1","False"
"Ambiente","PK_Ambiente","CLUSTERED","True","True","CodAmbiente","1","False"
"Assistencia_Tecnica","PK_Assistencia_Tecnica","CLUSTERED","True","True","ASTEC_Codigo","1","False"
"Assistencia_TecnicaMovimentacao","PK_Assistencia_TecnicaMovimentacao","CLUSTERED","True","True","ASTECMov_Codigo","1","False"
"Assistencia_TecnicaNota","PK_Assistencia_TecnicaNota","CLUSTERED","True","True","ASTECNota_Codigo","1","False"
"Assistencia_TecnicaProdutos","PK_Assistencia_TecnicaProdutos","CLUSTERED","True","True","ASTECProd_Codigo","1","False"
"AutorizaInclusao","PK_AutorizaInclusao","CLUSTERED","True","True","Ain_codigo","1","False"
"AutorizaInclusao_Servicos","PK_AutorizaInclusao_Servicos","CLUSTERED","True","True","Ain_codigo","1","False"
"AutorizaInclusao_Servicos","PK_AutorizaInclusao_Servicos","CLUSTERED","True","True","Ais_item","2","False"
"AutorizoInclusao_Luminaria","PK_AutorizoInclusao_Luminaria","CLUSTERED","True","True","Ain_codigo","1","False"
"AutorizoInclusao_Luminaria","PK_AutorizoInclusao_Luminaria","CLUSTERED","True","True","Ail_item","2","False"
"AutorizoInclusao_Materiais","PK_AutorizoInclusao_Materiais","CLUSTERED","True","True","Ain_codigo","1","False"
"AutorizoInclusao_Materiais","PK_AutorizoInclusao_Materiais","CLUSTERED","True","True","Aim_item","2","False"
"Avulso","PK_Avulso","CLUSTERED","True","True","avu_codigo","1","False"
"BalancoEstoque","PK_Balanco_Estoque","CLUSTERED","True","True","BalEst_Codigo","1","False"
