id;idUsuario;idPai;Alterar;Excluir;Consultar;Imprimir;Inserir;idApresentacao;idGrupo;Emp_codigo
1;0;1;-;-;-;-;-;;3;
3;0;1;X;X;X;X;X;;3;
189;0;1;X;X;X;X;X;;3;
190;0;189;X;X;X;X;X;;3;
191;0;189;X;X;X;X;X;;3;
4;0;189;X;X;X;X;X;;3;
5;0;189;X;X;X;X;X;;3;
6;0;1;X;X;X;X;X;;3;
7;0;1;X;X;X;X;X;;3;
8;0;1;X;X;X;X;X;;3;
12;0;1;X;X;X;X;X;;3;
163;0;1;X;X;X;X;X;;3;
164;0;163;;X;X;X;;;3;
13;0;163;;X;X;X;;;3;
14;0;163;;X;X;X;;;3;
15;0;163;;X;X;X;;;3;
16;0;163;X;X;X;X;X;;3;
17;0;163;X;X;X;X;X;;3;
9;0;163;X;X;X;X;X;;3;
296;0;1;X;X;X;X;X;;3;
10;0;163;X;X;X;X;X;;3;
211;0;1;X;X;X;X;X;;3;
212;0;211;X;X;X;X;X;;3;
232;0;211;X;X;X;X;X;;3;
233;0;211;X;X;X;X;X;;3;
287;0;211;X;X;X;X;X;;3;
298;0;211;X;X;X;X;X;;3;
165;0;1;X;X;X;X;X;;3;
11;0;165;X;X;X;X;X;;3;
2;0;165;X;X;X;X;X;;3;
156;0;165;X;X;X;X;X;;3;
306;0;165;X;X;X;X;X;;3;
307;0;165;X;X;X;X;X;;3;
308;0;165;X;X;X;X;X;;3;
241;0;165;X;X;X;X;X;;3;
270;0;165;X;X;X;X;X;;3;
271;0;165;X;X;X;X;X;;3;
272;0;165;X;X;X;X;X;;3;
166;0;1;X;X;X;X;X;;3;
167;0;166;;X;X;X;X;;3;
168;0;166;;X;X;X;X;;3;
169;0;166;X;X;X;X;X;;3;
188;0;166;X;X;X;X;X;;3;
18;0;1;X;X;X;X;X;;3;
187;0;1;X;X;X;X;X;;3;
237;0;1;X;X;X;X;X;;3;
19;0;19;-;-;-;-;-;;3;
20;0;19;X;X;X;X;X;;3;
21;0;19;X;X;X;X;X;;3;
22;0;19;X;X;X;X;X;;3;
23;0;19;X;X;X;X;X;;3;
284;0;19;X;X;X;X;X;;3;
24;0;19;X;X;X;X;X;;3;
25;0;19;X;X;X;X;X;;3;
26;0;19;X;X;X;X;X;;3;
27;0;19;X;X;X;X;X;;3;
28;0;19;X;X;X;X;X;;3;
29;0;28;X;X;X;X;X;;3;
30;0;28;X;X;X;X;X;;3;
31;0;28;X;X;X;X;X;;3;
323;0;28;X;X;X;X;X;;3;
32;0;19;X;X;X;X;X;;3;
33;0;19;X;X;X;X;X;;3;
34;0;19;X;X;X;X;X;;3;
35;0;19;X;X;X;X;X;;3;
177;0;19;X;X;X;X;X;;3;
203;0;19;X;X;X;X;X;;3;
204;0;19;X;X;X;X;X;;3;
205;0;19;X;X;X;X;X;;3;
302;0;19;X;X;X;X;X;;3;
304;0;19;X;X;X;X;X;;3;
36;0;36;-;-;-;-;-;;3;
37;0;36;X;X;X;X;X;;3;
38;0;36;X;X;X;X;X;;3;
39;0;36;X;X;X;X;X;;3;
312;0;36;X;X;X;X;X;;3;
317;0;36;X;X;X;X;X;;3;
170;0;36;X;X;X;X;X;;3;
325;0;36;X;X;X;X;X;;3;
41;0;36;X;X;X;X;X;;3;
151;0;36;X;X;X;X;X;;3;
273;0;36;X;X;X;X;X;;3;
179;0;36;X;X;X;X;X;;3;
230;0;36;X;X;X;X;X;;3;
206;0;36;X;X;X;X;X;;3;
207;0;36;X;X;X;X;X;;3;
208;0;36;X;X;X;X;X;;3;
209;0;36;X;X;X;X;X;;3;
213;0;36;X;X;X;X;X;;3;
318;0;36;X;X;X;X;X;;3;
322;0;36;X;X;X;X;X;;3;
44;0;44;-;-;-;-;-;;3;
45;0;44;X;X;X;X;X;;3;
46;0;44;X;X;X;X;X;;3;
47;0;44;X;X;X;X;X;;3;
148;0;44;X;X;X;X;X;;3;
152;0;44;X;X;X;X;X;;3;
223;0;44;X;X;X;X;X;;3;
154;0;44;X;X;X;X;X;;3;
48;0;48;-;-;-;-;-;;3;
327;0;48;X;X;X;X;X;;3;
49;0;48;X;X;X;X;X;;3;
51;0;48;X;X;X;X;X;;3;
52;0;51;X;X;X;X;X;;3;
53;0;51;X;X;X;X;X;;3;
219;0;51;X;X;X;X;X;;3;
238;0;51;X;X;X;X;X;;3;
292;0;51;X;X;X;X;X;;3;
293;0;51;X;X;X;X;X;;3;
228;0;48;X;X;X;X;X;;3;
54;0;48;X;X;X;X;X;;3;
320;0;48;X;X;X;X;X;;3;
321;0;48;X;X;X;X;X;;3;
55;0;55;-;-;-;-;-;;3;
56;0;55;X;X;X;X;X;;3;
57;0;56;X;X;X;X;X;;3;
294;0;56;X;X;X;X;X;;3;
58;0;55;X;X;X;X;X;;3;
59;0;58;X;X;X;X;X;;3;
295;0;58;X;X;X;X;X;;3;
60;0;55;X;X;X;X;X;;3;
61;0;60;X;X;X;X;X;;3;
64;0;55;X;X;X;X;X;;3;
65;0;64;X;X;X;X;X;;3;
171;0;53;X;X;X;X;X;;3;
172;0;53;X;X;X;X;X;;3;
173;0;53;X;X;X;X;X;;3;
300;0;53;X;X;X;X;X;;3;
175;0;55;X;X;X;X;X;;3;
1;0;1;-;-;-;-;-;;1;
3;0;1;X;X;X;X;X;;1;
189;0;1;X;X;X;X;X;;1;
190;0;189;X;X;X;X;X;;1;
191;0;189;X;X;X;X;X;;1;
4;0;189;X;X;X;X;X;;1;
5;0;189;X;X;X;X;X;;1;
6;0;1;X;X;X;X;X;;1;
7;0;1;X;X;X;X;X;;1;
8;0;1;X;X;X;X;X;;1;
12;0;1;X;X;X;X;X;;1;
163;0;1;X;X;X;X;X;;1;
164;0;163;X;X;X;X;X;;1;
13;0;163;X;X;X;X;X;;1;
14;0;163;X;X;X;X;X;;1;
15;0;163;X;X;X;X;X;;1;
16;0;163;X;X;X;X;X;;1;
17;0;163;X;X;X;X;X;;1;
9;0;163;X;X;X;X;X;;1;
296;0;1;X;X;X;X;X;;1;
331;0;1;X;X;X;X;X;;1;
10;0;163;X;X;X;X;X;;1;
211;0;1;X;X;X;X;X;;1;
212;0;211;X;X;X;X;X;;1;
232;0;211;X;X;X;X;X;;1;
233;0;211;X;X;X;X;X;;1;
287;0;211;X;X;X;X;X;;1;
298;0;211;X;X;X;X;X;;1;
324;0;211;X;X;X;X;X;;1;
165;0;1;X;X;X;X;X;;1;
11;0;165;X;X;X;X;X;;1;
2;0;165;X;X;X;X;X;;1;
156;0;165;X;X;X;X;X;;1;
306;0;165;X;X;X;X;X;;1;
307;0;165;X;X;X;X;X;;1;
308;0;165;X;X;X;X;X;;1;
241;0;165;X;X;X;X;X;;1;
270;0;165;X;X;X;X;X;;1;
271;0;165;X;X;X;X;X;;1;
272;0;165;X;X;X;X;X;;1;
166;0;1;X;X;X;X;X;;1;
167;0;166;X;X;X;X;X;;1;
168;0;166;X;X;X;X;X;;1;
169;0;166;X;X;X;X;X;;1;
188;0;166;X;X;X;X;X;;1;
18;0;1;X;X;X;X;X;;1;
187;0;1;X;X;X;X;X;;1;
237;0;1;X;X;X;X;X;;1;
19;0;19;-;-;-;-;-;;1;
20;0;19;X;X;X;X;X;;1;
21;0;19;X;X;X;X;X;;1;
22;0;19;X;X;X;X;X;;1;
23;0;19;X;X;X;X;X;;1;
284;0;19;X;X;X;X;X;;1;
24;0;19;X;X;X;X;X;;1;
25;0;19;X;X;X;X;X;;1;
26;0;19;X;X;X;X;X;;1;
27;0;19;X;X;X;X;X;;1;
28;0;19;X;X;X;X;X;;1;
29;0;28;X;X;X;X;X;;1;
30;0;28;X;X;X;X;X;;1;
31;0;28;X;X;X;X;X;;1;
323;0;28;X;X;X;X;X;;1;
32;0;19;X;X;X;X;X;;1;
33;0;19;X;X;X;X;X;;1;
34;0;19;X;X;X;X;X;;1;
35;0;19;X;X;X;X;X;;1;
177;0;19;X;X;X;X;X;;1;
203;0;19;X;X;X;X;X;;1;
204;0;19;X;X;X;X;X;;1;
205;0;19;X;X;X;X;X;;1;
302;0;19;X;X;X;X;X;;1;
304;0;19;X;X;X;X;X;;1;
36;0;36;-;-;-;-;-;;1;
37;0;36;X;X;X;X;X;;1;
38;0;36;X;X;X;X;X;;1;
39;0;36;X;X;X;X;X;;1;
312;0;36;X;X;X;X;X;;1;
317;0;36;X;X;X;X;X;;1;
170;0;36;X;X;X;X;X;;1;
325;0;36;X;X;X;X;X;;1;
334;0;36;X;X;X;X;X;;1;
41;0;36;X;X;X;X;X;;1;
151;0;36;X;X;X;X;X;;1;
273;0;36;X;X;X;X;X;;1;
179;0;36;X;X;X;X;X;;1;
230;0;36;X;X;X;X;X;;1;
206;0;36;X;X;X;X;X;;1;
207;0;36;X;X;X;X;X;;1;
208;0;36;X;X;X;X;X;;1;
209;0;36;X;X;X;X;X;;1;
213;0;36;X;X;X;X;X;;1;
318;0;36;X;X;X;X;X;;1;
322;0;36;X;X;X;X;X;;1;
44;0;44;-;-;-;-;-;;1;
45;0;44;X;X;X;X;X;;1;
46;0;44;X;X;X;X;X;;1;
47;0;44;X;X;X;X;X;;1;
148;0;44;X;X;X;X;X;;1;
152;0;44;X;X;X;X;X;;1;
223;0;44;X;X;X;X;X;;1;
154;0;44;X;X;X;X;X;;1;
333;0;44;X;X;X;X;X;;1;
48;0;48;-;-;-;-;-;;1;
327;0;48;X;X;X;X;X;;1;
49;0;48;X;X;X;X;X;;1;
51;0;48;X;X;X;X;X;;1;
52;0;51;X;X;X;X;X;;1;
53;0;51;X;X;X;X;X;;1;
219;0;51;X;X;X;X;X;;1;
238;0;51;X;X;X;X;X;;1;
1;0;1;-;-;-;-;-;;2;
211;0;1;;;X;X;;;2;
2;0;165;;;X;X;;;2;
270;0;165;;;X;;;;2;
271;0;165;;;X;;;;2;
272;0;165;;;X;;;;2;
19;0;19;-;-;-;-;-;;2;
20;0;19;X;;X;X;X;;2;
21;0;19;;;X;X;;;2;
22;0;19;X;;X;X;X;;2;
29;0;28;;;X;;;;2;
32;0;19;;;X;X;;;2;
36;0;36;-;-;-;-;-;;2;
37;0;36;X;;X;X;X;;2;
38;0;36;X;X;X;X;X;;2;
39;0;36;X;;X;X;X;;2;
312;0;36;X;;X;X;X;;2;
317;0;36;X;;X;X;X;;2;
1;0;1;-;-;-;-;-;;5;
3;0;1;X;X;X;X;X;;5;
190;0;189;;;X;;;;5;
191;0;189;;;X;;;;5;
4;0;189;;;X;;;;5;
5;0;189;;;X;;;;5;
7;0;1;;;X;;;;5;
8;0;1;;;X;;;;5;
211;0;1;;;X;;;;5;
170;0;36;;;X;X;;;2;
325;0;36;X;;X;X;X;;2;
41;0;36;;;X;X;X;;2;
273;0;36;X;;X;X;X;;2;
179;0;36;X;;X;X;X;;2;
213;0;36;;;X;X;;;2;
44;0;44;-;-;-;-;-;;2;
148;0;44;;;X;;;;2;
152;0;44;;;X;;;;2;
48;0;48;-;-;-;-;-;;2;
49;0;48;;;X;;;;2;
51;0;48;;;X;;;;2;
52;0;51;;;X;;;;2;
55;0;55;-;-;-;-;-;;2;
173;0;53;;;X;X;;;2;
71;0;71;-;-;-;-;-;;2;
212;0;211;;;X;;;;5;
232;0;211;;;X;;;;5;
233;0;211;;;X;;;;5;
165;0;1;;;X;;;;5;
11;0;165;X;X;X;X;X;;5;
2;0;165;X;X;X;X;X;;5;
156;0;165;X;X;X;X;X;;5;
241;0;165;;;X;;;;5;
270;0;165;;;X;;;;5;
271;0;165;;;X;;;;5;
237;0;1;X;X;X;X;X;;5;
19;0;19;-;-;-;-;-;;5;
20;0;19;X;X;X;X;X;;5;
21;0;19;X;X;X;X;X;;5;
22;0;19;X;;;X;X;;5;
24;0;19;X;;X;X;X;;5;
26;0;19;X;X;X;X;X;;5;
27;0;19;X;X;X;X;X;;5;
28;0;19;X;X;X;X;X;;5;
29;0;28;X;X;X;X;X;;5;
30;0;28;X;X;X;X;X;;5;
31;0;28;X;X;X;X;X;;5;
36;0;36;-;-;-;-;-;;5;
38;0;36;X;;X;X;X;;5;
39;0;36;;;X;X;;;5;
312;0;36;X;;X;X;X;;5;
41;0;36;X;;X;X;X;;5;
213;0;36;;;X;;;;5;
44;0;44;-;-;-;-;-;;5;
45;0;44;X;X;X;X;X;;5;
46;0;44;X;X;X;X;X;;5;
47;0;44;X;X;X;X;X;;5;
148;0;44;X;X;X;X;X;;5;
152;0;44;X;X;X;X;X;;5;
223;0;44;X;X;X;X;X;;5;
154;0;44;X;X;X;X;X;;5;
48;0;48;-;-;-;-;-;;5;
49;0;48;X;X;X;X;X;;5;
51;0;48;X;X;X;X;X;;5;
52;0;51;X;X;X;X;X;;5;
53;0;51;X;X;X;X;X;;5;
219;0;51;X;X;X;X;X;;5;
238;0;51;X;X;X;X;X;;5;
292;0;51;X;X;X;X;X;;5;
293;0;51;X;X;X;X;X;;5;
228;0;48;X;X;X;X;X;;5;
54;0;48;X;X;X;X;X;;5;
55;0;55;-;-;-;-;-;;5;
71;0;71;-;-;-;-;-;;5;
73;0;73;-;-;-;-;-;;5;
74;0;73;;;X;X;;;5;
76;0;74;X;X;X;X;X;;5;
284;0;74;;;X;;;;5;
85;0;73;X;X;X;X;X;;5;
86;0;85;X;X;X;X;X;;5;
87;0;85;X;X;X;X;X;;5;
142;0;85;X;X;X;X;X;;5;
143;0;85;X;X;X;X;X;;5;
